"","gross_national_income_per_capita_2013","measles_immunization_oneyearolds"
"1",2000,66
"2",10520,98
"3",12990,95
"5",6770,60
"6",20070,98
"8",8140,97
"9",42540,93
"10",43840,96
"11",16180,98
"14",2810,88
"16",16940,99
"17",40280,96
"18",8160,95
"19",1780,68
"20",7210,97
"21",5750,99
"22",9820,89
"23",15500,97
"24",14750,99
"26",15200,93
"27",1560,88
"28",820,94
"29",6220,93
"30",2890,80
"31",2660,80
"32",42610,90
"33",600,49
"34",2000,54
"35",21030,97
"36",11850,99
"37",11890,91
"38",1560,80
"39",4720,80
"41",13570,95
"42",20370,94
"44",28830,86
"45",25530,99
"47",680,77
"48",44460,90
"50",9800,94
"51",11150,88
"52",10310,85
"53",10850,93
"54",7490,95
"55",23240,44
"56",1180,90
"57",24230,93
"58",1350,70
"59",7610,94
"60",38480,97
"61",37580,91
"62",17220,61
"63",1620,96
"64",7040,92
"65",44540,97
"66",3880,92
"67",25630,97
"68",11120,94
"69",7130,67
"70",1160,52
"71",1240,69
"72",6550,99
"73",1710,53
"74",4270,88
"76",38870,90
"77",5350,85
"78",9260,77
"79",15600,99
"80",15220,57
"82",32140,96
"83",34100,87
"84",2900,62
"85",8480,92
"86",37630,98
"87",11660,98
"88",20570,99
"89",2250,79
"90",2780,88
"92",3070,96
"93",4570,87
"94",22970,95
"95",17390,79
"96",3320,90
"97",790,58
"100",24500,93
"102",1350,64
"103",750,85
"104",22460,94
"105",9890,99
"106",1540,80
"107",28030,98
"108",4620,79
"109",2850,84
"110",17220,98
"111",16110,97
"112",3840,91
"114",8810,98
"115",14600,76
"116",7000,99
"117",1040,85
"119",9590,83
"121",2260,88
"122",43210,96
"124",4440,99
"125",910,72
"126",5360,51
"128",66520,94
"130",4920,61
"131",14540,83
"132",19290,90
"133",2430,65
"134",7640,89
"135",11360,89
"136",7820,88
"137",22300,97
"138",25360,98
"139",123860,99
"140",33440,99
"141",5190,90
"142",18060,89
"143",23200,98
"144",1430,97
"145",20400,93
"146",10350,99
"147",10610,99
"148",4840,82
"150",2950,92
"151",53780,98
"152",2240,80
"153",12020,86
"154",23270,99
"155",1750,78
"156",76850,95
"157",25500,97
"158",28130,94
"159",1810,93
"161",12240,70
"162",2190,22
"163",31850,96
"164",9470,99
"165",2370,86
"166",15860,85
"167",6220,86
"168",44760,98
"169",56580,93
"171",2500,98
"172",13510,99
"173",11520,93
"174",6410,74
"175",1180,82
"176",5450,67
"177",26210,96
"178",10960,98
"179",18760,94
"180",12920,99
"181",5990,94
"182",1370,82
"183",8960,56
"185",35760,93
"186",1750,99
"187",53960,92
"188",18930,96
"189",5340,99
"190",2840,53
"192",17890,89
"193",5030,97
"194",3820,67
"195",3070,85
"196",1560,92
