"name","body_mass_kg","brain_mass_g","log_body_mass","log_brain_mass"
"Arctic fox",3.38,44.5,1.21787570949493,3.79548918917219
"Owl monkey",0.48,15.5,-0.7339691750802,2.7408400239252
"Mountain beaver",1.35,8.1,0.300104592450338,2.09186406167839
"Cow",465,423,6.14203740558736,6.04737217904628
"Grey wolf",36.33,119.5,3.59264384623311,4.78331637137157
"Goat",27.66,115,3.31998732623661,4.74493212836325
"Roe deer",14.83,98.2,2.69665215614984,4.58700621536042
"Guinea pig",1.04,5.5,0.0392207131532813,1.70474809223843
"Verbet",4.19,58,1.43270073393405,4.06044301054642
"Chinchilla",0.42,6.4,-0.867500567704723,1.85629799036563
"Ground squirrel",0.1,4,-2.30258509299405,1.38629436111989
"Arctic ground squirrel",0.92,5.7,-0.083381608939051,1.7404661748405
"African giant pouched rat",1,6.6,0,1.88706964903238
"Lesser short-tailed shrew",0.01,0.14,-4.60517018598809,-1.96611285637283
"Star-nosed mole",0.06,1,-2.81341071676004,0
"Nine-banded armadillo",3.5,10.8,1.25276296849537,2.37954613413017
"Tree hyrax",2,12.3,0.693147180559945,2.50959926237837
"N.A. opossum",1.7,6.3,0.53062825106217,1.84054963339749
"Asian elephant",2547,4603,7.84267147497946,8.43446354381724
"Big brown bat",0.02,0.3,-3.91202300542815,-1.20397280432594
"Donkey",187.1,419,5.23164323328004,6.03787091992214
"Horse",521,655,6.25575004175337,6.48463523563525
"European hedgehog",0.79,3.5,-0.23572233352107,1.25276296849537
"Patas monkey",10,115,2.30258509299405,4.74493212836325
"Cat",3.3,25.6,1.19392246847243,3.24259235148552
"Galago",0.2,5,-1.6094379124341,1.6094379124341
"Genet",1.41,17.5,0.343589704390077,2.86220088092947
"Giraffe",529,680,6.2709884318583,6.52209279817015
"Gorilla",207,406,5.33271879326537,6.00635315960173
"Grey seal",85,325,4.44265125649032,5.78382518232974
"Rock hyrax-a",0.75,12.3,-0.287682072451781,2.50959926237837
"Human",62,1320,4.12713438504509,7.18538701558042
"African elephant",6654,5712,8.80297345657842,8.65032450401942
"Water opossum",3.5,3.9,1.25276296849537,1.3609765531356
"Rhesus monkey",6.8,179,1.91692261218206,5.18738580584075
"Kangaroo",35,56,3.55534806148941,4.02535169073515
"Yellow-bellied marmot",4.05,17,1.39871688111845,2.83321334405622
"Golden hamster",0.12,1,-2.12026353620009,0
"Mouse",0.02,0.4,-3.91202300542815,-0.916290731874155
"Little brown bat",0.01,0.25,-4.60517018598809,-1.38629436111989
"Slow loris",1.4,12.5,0.336472236621213,2.52572864430826
"Okapi",250,490,5.52146091786225,6.19440539110467
"Rabbit",2.5,12.1,0.916290731874155,2.4932054526027
"Sheep",55.5,175,4.01638302075239,5.16478597392351
"Jaguar",100,157,4.60517018598809,5.05624580534831
"Chimpanzee",52.16,440,3.9543159176184,6.08677472691231
"Baboon",10.55,179.5,2.35612585992208,5.19017520792833
"Desert hedgehog",0.55,2.4,-0.59783700075562,0.8754687373539
"Giant armadillo",60,81,4.0943445622221,4.39444915467244
"Rock hyrax-b",3.6,21,1.28093384546206,3.04452243772342
"Raccoon",4.29,39.2,1.45628673293993,3.66867674679642
"Rat",0.28,1.9,-1.27296567581289,0.641853886172395
"E. American mole",0.07,1.2,-2.65926003693278,0.182321556793955
"Mole rat",0.12,3,-2.12026353620009,1.09861228866811
"Musk shrew",0.05,0.33,-2.99573227355399,-1.10866262452161
"Pig",192,180,5.25749537202778,5.19295685089021
"Echidna",3,25,1.09861228866811,3.2188758248682
"Brazilian tapir",160,169,5.07517381523383,5.12989871492307
"Tenrec",0.9,2.6,-0.105360515657826,0.955511445027436
"Phalanger",1.62,11.4,0.482426149244293,2.43361335540045
"Tree shrew",0.1,2.5,-2.30258509299405,0.916290731874155
"Red fox",4.24,50.4,1.44456326924387,3.91999117507732
