Number,Pokemon,Type,HP,Attack,Defense,Speed
4,Charmander ,Fire,39,52,43,65
5,Charmeleon ,Fire,58,64,58,80
6,Charizard ,Fire,78,84,78,100
37,Vulpix ,Fire,38,41,40,65
38,Ninetales ,Fire,73,76,75,100
58,Growlithe ,Fire,55,70,45,60
59,Arcanine ,Fire,90,110,80,95
77,Ponyta ,Fire,50,85,55,90
78,Rapidash ,Fire,65,100,70,105
126,Magmar ,Fire,65,95,57,93
136,Flareon ,Fire,65,130,60,65
146,Moltres ,Fire,90,100,90,90
1,Bulbasaur ,Grass,45,49,49,45
2,Ivysaur ,Grass,60,62,63,60
3,Venusaur ,Grass,80,82,83,80
43,Oddish ,Grass,45,50,55,30
44,Gloom ,Grass,60,65,70,40
45,Vileplume ,Grass,75,80,85,50
69,Bellsprout ,Grass,50,75,35,40
70,Weepinbell ,Grass,65,90,50,55
71,Victreebel ,Grass,80,105,65,70
102,Exeggcute ,Grass,60,40,80,40
103,Exeggutor ,Grass,95,95,85,55
114,Tangela ,Grass,65,55,115,60
7,Squirtle ,Water,44,48,65,43
8,Wartortle ,Water,59,63,80,58
9,Blastoise ,Water,79,83,100,78
54,Psyduck ,Water,50,52,48,55
55,Golduck ,Water,80,82,78,85
60,Poliwag ,Water,40,50,40,90
61,Poliwhirl ,Water,65,65,65,90
62,Poliwrath ,Water,90,85,95,70
79,Slowpoke ,Water,90,65,65,15
80,Slowbro ,Water,95,75,110,30
86,Seel ,Water,65,45,55,45
87,Dewgong ,Water,90,70,80,70
90,Shellder ,Water,30,65,100,40
91,Cloyster ,Water,50,95,180,70
98,Krabby ,Water,30,105,90,50
99,Kingler ,Water,55,130,115,75
118,Goldeen ,Water,45,67,60,63
119,Seaking ,Water,80,92,65,68
120,Staryu ,Water,30,45,55,85
121,Starmie ,Water,60,75,85,115
129,Magikarp ,Water,20,10,55,80
130,Gyarados ,Water,95,125,79,81
131,Lapras ,Water,130,85,80,60
134,Vaporeon ,Water,130,65,60,65
