Number,Pokemon,Type,HP ,Attack ,Defense ,Speed 
10,Caterpie ,Bug,45,30,35,45
11,Metapod ,Bug,50,20,55,30
12,Butterfree ,Bug,60,45,50,70
13,Weedle ,Bug,40,35,30,50
14,Kakuna ,Bug,45,25,50,35
15,Beedrill ,Bug,65,80,40,75
46,Paras ,Bug,35,70,55,25
47,Parasect ,Bug,60,95,80,30
48,Venonat ,Bug,60,55,50,45
49,Venomoth ,Bug,70,65,60,90
123,Scyther ,Bug,70,110,80,105
127,Pinsir ,Bug,65,125,100,85
4,Charmander ,Fire,39,52,43,65
5,Charmeleon ,Fire,58,64,58,80
6,Charizard ,Fire,78,84,78,100
37,Vulpix ,Fire,38,41,40,65
38,Ninetales ,Fire,73,76,75,100
58,Growlithe ,Fire,55,70,45,60
59,Arcanine ,Fire,90,110,80,95
77,Ponyta ,Fire,50,85,55,90
78,Rapidash ,Fire,65,100,70,105
126,Magmar ,Fire,65,95,57,93
136,Flareon ,Fire,65,130,60,65
146,Moltres ,Fire,90,100,90,90
1,Bulbasaur ,Grass,45,49,49,45
2,Ivysaur ,Grass,60,62,63,60
3,Venusaur ,Grass,80,82,83,80
43,Oddish ,Grass,45,50,55,30
44,Gloom ,Grass,60,65,70,40
45,Vileplume ,Grass,75,80,85,50
69,Bellsprout ,Grass,50,75,35,40
70,Weepinbell ,Grass,65,90,50,55
71,Victreebel ,Grass,80,105,65,70
102,Exeggcute ,Grass,60,40,80,40
103,Exeggutor ,Grass,95,95,85,55
114,Tangela ,Grass,65,55,115,60
