Number,Pokemon,Type,HP ,Attack ,Defense ,Speed 
25,Pikachu ,Electric,35,55,30,90
26,Raichu ,Electric,60,90,55,100
81,Magnemite ,Electric,25,35,70,45
82,Magneton ,Electric,50,60,95,70
100,Voltorb ,Electric,40,30,50,100
101,Electrode ,Electric,60,50,70,140
125,Electabuzz ,Electric,65,83,57,105
135,Jolteon ,Electric,65,65,60,130
145,Zapdos ,Electric,90,90,85,100
23,Ekans ,Poison,35,60,44,55
24,Arbok ,Poison,60,85,69,80
29,Nidoran,Poison,55,47,52,41
30,Nidorina ,Poison,70,62,67,56
31,Nidoqueen ,Poison,90,82,87,76
32,Nidoran,Poison,46,57,40,50
34,Nidoking ,Poison,81,92,77,85
41,Zubat ,Poison,40,45,35,55
42,Golbat ,Poison,75,80,70,90
88,Grimer ,Poison,80,80,50,25
89,Muk ,Poison,105,105,75,50
109,Koffing ,Poison,40,65,95,35
110,Weezing ,Poison,65,90,120,60
9,Blastoise ,Water,79,83,100,78
54,Psyduck ,Water,50,52,48,55
60,Poliwag ,Water,40,50,40,90
61,Poliwhirl ,Water,65,65,65,90
79,Slowpoke ,Water,90,65,65,15
80,Slowbro ,Water,95,75,110,30
86,Seel ,Water,65,45,55,45
87,Dewgong ,Water,90,70,80,70
99,Kingler ,Water,55,130,115,75
119,Seaking ,Water,80,92,65,68
120,Staryu ,Water,30,45,55,85
129,Magikarp ,Water,20,10,55,80
130,Gyarados ,Water,95,125,79,81
131,Lapras ,Water,130,85,80,60
134,Vaporeon ,Water,130,65,60,65
