imm.dates,log
0.21,-1.560647748
0.29,-1.237874356
0.54,-0.616186139
0.63,-0.46203546
0.88,-0.127833372
0.96,-0.040821995
1.25,0.223143551
1.67,0.512823626
1.75,0.559615788
1.84,0.609765572
1.96,0.672944473
2.01,0.698134722
2.51,0.920282753
2.72,1.00063188
3.3,1.193922468
3.51,1.255616037
4.05,1.398716881
4.85,1.578978705
6.94,1.937301775
8.73,2.16676537
10.57,2.3580198
11.11,2.407845604
18.43,2.913979772
22.48,3.112626025
22.48,3.112626025
23.48,3.156148995
26.32,3.270329106
